Hybridization REF,chrom,start
LZIC,1,9912363
NMNAT1,1,9926074
RBP7,1,9979861
UBE4B,1,10015630
KIF1B,1,10193418
PGD,1,10381672
APITD1,1,10412746
CORT,1,10432558
DFFA,1,10443175
PEX14,1,10457606
CASZ1,1,10629864
C1orf127,1,10929120
LOC390996,1,10956165
TARDBP,1,10995266
MASP2,1,11009167
SRM,1,11037236
EXOSC10,1,11049262
FRAP1,1,11089179
ANGPTL7,1,11171985
UBIAD1,1,11246034
PTCHD2,1,11461317
FBXO2,1,11631035
FBXO44,1,11637019
FBXO6,1,11646768
MAD2L2,1,11657124
C1orf187,1,11674373
AGTRAP,1,11718799
C1orf167,1,11744431
MTHFR,1,11769247
CLCN6,1,11788881
NPPA,1,11828363
NPPB,1,11840111
LOC390997,1,11860363
KIAA2013,1,11902709
PLOD1,1,11917333
MFN2,1,11962956
IIP45,1,12002099
TNFRSF8,1,12046021
TNFRSF1B,1,12149647
LOC390998,1,12203436
VPS13D,1,12212700
DHRS3,1,12550526
LOC343066,1,12627153
LOC126767,1,12698711
C1orf158,1,12728750
LOC390999,1,12751500
PRAMEF1,1,12774133
LOC653597,1,12807061
LOC441870,1,12819366
HNRPCL1,1,12829848
PRAMEF2,1,12839528
PRAMEF4,1,12861632
PRAMEF10,1,12875334
PRAMEF7,1,12900100
PRAMEF6,1,12921092
LOC653606,1,12958115
LOC653609,1,13031116
LOC441873,1,13063043
LOC441874,1,13085349
LOC440563,1,13105381
LOC645354,1,13118423
LOC645359,1,13138957
PRAMEF3,1,13200783
PRAMEF5,1,13232406
LOC645375,1,13251733
PRAMEF8,1,13259233
LOC645382,1,13279129
LOC653619,1,13292695
LOC400736,1,13320001
LOC391003,1,13346646
LOC654348,1,13367871
LOC391001,1,13394550
LOC653622,1,13480024
LOC645399,1,13499926
PRAMEF9,1,13514560
LOC645199,1,13540862
LOC645414,1,13567482
LOC391004,1,13588705
LOC645425,1,13615195
LRRC38,1,13673782
PDPN,1,13782839
PRDM2,1,13903937
LOC653591,1,14018806
KIAA1026,1,14797800
TBCAP2,1,14891012
LOC645259,1,14910727
FLJ43806,1,15300684
C1orf126,1,15315036
TMEM51,1,15352816
LOC645516,1,15435658
FHAD1,1,15446361
EFHD2,1,15609028
CTRC,1,15637525
ELA2A,1,15655811
ELA2B,1,15675183
CASP9,1,15691378
DNAJC16,1,15725895
AGMAT,1,15771739
LOC645317,1,15798350
DDI2,1,15816657
RSC1A1,1,15858951
PLEKHM2,1,15864870
SLC25A34,1,15935396
LOC388595,1,15941504
FBLIM1,1,15957842
LOC440567,1,16006249
LOC441876,1,16027300
LOC645580,1,16033153
SPEN,1,16046946
ZBTB17,1,16140951
LOC645597,1,16168068
LOC645609,1,16187536
C1orf64,1,16203318
HSPB7,1,16213111
CLCNKA,1,16221697
LOC440568,1,16233598
CLCNKB,1,16242939
C1orf117,1,16256851
EPHA2,1,16323419
ARHGEF19,1,16397186
LOC645634,1,16415461
C1orf89,1,16430782
LOC645652,1,16438377
FBXO42,1,16449146
C1orf144,1,16566307
SPATA21,1,16597725
NECAP2,1,16639820
KIAA1922,1,16674912
LOC645677,1,16685567
LOC645685,1,16719810
LOC645696,1,16747101
NBPF1,1,16761407
LOC645719,1,16817339
LOC645711,1,16818033
MGC12760,1,16827560
MSTP2,1,16845384
EIF1AP1,1,16883633
ESPNP,1,16890191
MSTP7,1,16959851
LOC401943,1,17054286
LOC440570,1,17070027
CROCC,1,17121032
MFAP2,1,17173584
ATP13A2,1,17185040
SDHB,1,17217840
PADI2,1,17267840
PADI1,1,17404217
PADI3,1,17448180
PADI4,1,17507279
PADI6,1,17571328
RCC2,1,17605866
ARHGEF10L,1,17738917
ACTL8,1,17954431
IGSF21,1,18306827
KLHDC7A,1,18680453
LOC391012,1,18712106
PAX7,1,18830087
TAS1R2,1,19038680
ALDH4A1,1,19070513
LOC126917,1,19103238
RBAF600,1,19273913
LOC643993,1,19279114
KIAA0090,1,19417171
C1orf33,1,19450886
AFAR3,1,19465063
AKR7A3,1,19481644
AKR7A2,1,19503046
PQLC2,1,19511407
CAPZB,1,19538351
LOC644075,1,19550386
LOC644083,1,19597966
C1orf151,1,19796054
LOC644068,1,19806824
NBL1,1,19842313
LOC645970,1,19863485
HTR6,1,19864367
TMCO4,1,19881320
RNF186,1,20013109
OTUD3,1,20081369
PLA2G2E,1,20119387
PLA2G2A,1,20174518
PLA2G5,1,20269425
PLA2G2D,1,20311019
PLA2G2F,1,20338406
LOC646028,1,20363071
LOC391013,1,20371866
UBXD3,1,20385165
FLJ32784,1,20490017
CAMK2N1,1,20682519
C1orf166,1,20698530
LOC441878,1,20725121
FAM43B,1,20751519
CDA,1,20771713
PINK1,1,20832535
DDOST,1,20850857
KIF17,1,20863096
SH2D5,1,20918815
HP1BP3,1,20942215
LOC653706,1,20979545
EIF4G3,1,21005559
ECE1,1,21418939
NBPF2P,1,21610536
HS6ST1P,1,21627273
LOC391016,1,21629243
LOC646155,1,21639047
NBPF3,1,21639218
ALPL,1,21708456
RAP1GA1,1,21795302
USP48,1,21877378
LDLRAD2,1,22011345
HSPG2,1,22021324
ELA3B,1,22176005
ELA3A,1,22200736
CDC42,1,22251769
LOC646172,1,22252191
WNT4,1,22318786
LOC646191,1,22472749
LOC343384,1,22521920
ZBTB40,1,22650937
EPHA8,1,22762591
C1QA,1,22836687
C1QG,1,22842734
C1QB,1,22858474
EPHB2,1,22910045
LOC646262,1,23152123
AOF2,1,23218533
LUZP1,1,23284038
HTR1D,1,23390975
LOC391019,1,23443826
HNRPR,1,23508863
ZNF436,1,23559055
LOC148898,1,23568051
TCEA3,1,23580142
DDEFL1,1,23627643
E2F2,1,23705509
ID3,1,23757043
LOC646306,1,23869371
RPL11,1,23890881
TCEB3,1,23942549
C1orf128,1,23977470
LYPLA2,1,23990233
GALE,1,23994676
HMGCL,1,24000954
FUCA1,1,24044161
CNR2,1,24073047
LOC646330,1,24100548
PNRC2,1,24158917
FUSIP1,1,24165526
LOC127295,1,24206958
MYOM3,1,24255122
IL22RA1,1,24318848
IL28RA,1,24353234
GRHL3,1,24518468
LOC90529,1,24556076
NPAL3,1,24614903
DSCR1L2,1,24701974
C1orf130,1,24755189
SRRM1,1,24842181
CLIC4,1,24944435
RUNX3,1,25098645
LOC391020,1,25324131
SYF2,1,25421351
C1orf63,1,25441327
RHD,1,25471568
SDHDP6,1,25492440
TMEM50A,1,25537398
RHCE,1,25561327
SDHDP7,1,25597789
TMEM57,1,25630068
LDLRAP1,1,25742753
LOC646451,1,25815266
MAN1C1,1,25816546
SEPN1,1,25999254
LOC646471,1,26017575
FAM54B,1,26019271
C1orf135,1,26033084
PAQR7,1,26060562
FLJ32206,1,26083259
STMN1,1,26099194
PAFAH2,1,26159902
EXTL1,1,26220858
SLC30A2,1,26237101
TRIM63,1,26250385
PDIK1L,1,26310913
GRRP1,1,26358098
ZNF593,1,26361096
CNKSR1,1,26376590
CATSPER4,1,26389706
CCDC21,1,26433280
MRPS6P1,1,26462113
SH3BGRL3,1,26479031
UBXD5,1,26481360
CD52,1,26516998
LOC644849,1,26520943
AIM1L,1,26520959
ZNF683,1,26560712
LIN28,1,26609856
DHDDS,1,26631389
HMGN2,1,26671501
RPS6KA1,1,26728836
ARID1A,1,26895112
PIGV,1,26987073
LOC646554,1,27016378
ZDHHC18,1,27025788
SFN,1,27062220
ATPBD1B,1,27075210
GPATC3,1,27089567
NR0B2,1,27110566
NUDC,1,27120811
C1orf172,1,27148648
LOC401945,1,27157919
LOC646567,1,27184845
LOC388610,1,27192785
FAM46B,1,27204098
SLC9A1,1,27297894
LOC391023,1,27375486
LOC646572,1,27399105
LOC440577,1,27405915
WDTC1,1,27433746
C1orf160,1,27521309
LOC644961,1,27521480
SYTL1,1,27541100
MAP3K6,1,27554257
FCN3,1,27568188
CD164L2,1,27578253
GPR3,1,27591739
WASF2,1,27604713
AHDC1,1,27733758
FGR,1,27811396
LOC646591,1,27847556
G1P3,1,27865164
LOC646597,1,27885907
FAM76A,1,27925077
STX12,1,27968319
PPP1R8,1,28029880
C1orf38,1,28078827
RPA2,1,28090636
SMPDL3B,1,28134091
XKR8,1,28159091
EYA3,1,28173406
LOC653566,1,28288405
PTAFR,1,28348425
DNAJC8,1,28399655
ATPIF1,1,28435198
SESN2,1,28458593
MED18,1,28528136
PHACTR4,1,28637269
RCC1,1,28705155
TRSPAP1,1,28752192
C1orf79,1,28777641
RAB42,1,28791299
TAF12,1,28802200
GMEB1,1,28867831
YTHDF2,1,28936070
OPRD1,1,29011241
EPB41,1,29086215
LOC646624,1,29181377
TTMB,1,29318531
SFRS4,1,29346946
MECR,1,29391972
PTPRU,1,29435611
LOC391025,1,29628334
LOC642621,1,30694579
MATN1,1,30958583
LAPTM5,1,30977903
SDC3,1,31118567
PUM1,1,31176940
SEPW1P,1,31339786
FAM77C,1,31425180
WDR57,1,31505107
ZCCHC17,1,31542429
FABP3,1,31610687
SERINC2,1,31658550
LOC441880,1,31733019
LOC149086,1,31744409
TINAGL1,1,31814747
HCRTR1,1,31857228
PEF1,1,31868058
COL16A1,1,31890435
BAI2,1,31965306
SPOCD1,1,32028612
PTP4A2,1,32144609
KHDRBS1,1,32252078
TMEM39B,1,32311116
KPNA6,1,32346244
TXLNA,1,32417932
CCDC28B,1,32438821
IQCC,1,32443859
LOC642926,1,32447282
C1orf91,1,32452666
EIF3S2,1,32460613
LOC642940,1,32472587
C1orf90,1,32485421
LCK,1,32489520
HDAC1,1,32530295
MARCKSL1,1,32572027
TSSK3,1,32600449
BSDC1,1,32603359
LOC343338,1,32640303
ZBTB8,1,32703245
LOC653121,1,32777419
ZBTB8OS,1,32859892
RBBP4,1,32889411
SYNC1,1,32918548
KIAA1522,1,33003855
YARS,1,33013427
S100PBP,1,33055763
FNDC5,1,33100464
LOC643045,1,33124380
HPCA,1,33124685
TMEM54,1,33132783
IBRDC3,1,33174634
LOC127545,1,33218133
AK2,1,33246173
ADC,1,33319301
TRIM62,1,33383591
LOC653200,1,33419738
LOC643096,1,33493333
FLJ25476,1,33494761
A3GALT2,1,33544954
PHC2,1,33561814
ZNF31,1,33710846
CSMD2,1,33752196
HMGB4,1,34098663
C1orf94,1,34415858
GJB5,1,34993308
GJB4,1,34999365
GJB3,1,35019377
GJA4,1,35031186
LOC113444,1,35091711
DLGAP3,1,35103630
LOC653160,1,35213893
ZMYM6,1,35219721
ZMYM1,1,35317577
LOC643301,1,35358926
SFPQ,1,35421788
ZMYM4,1,35507155
LOC643343,1,35588910
KIAA0319L,1,35671678
LOC643354,1,35795354
NCDN,1,35795980
TFAP2E,1,35811558
PSMB2,1,35841326
FLJ38984,1,35952064
LOC642981,1,35972201
CLSPN,1,35974405
EIF2C4,1,36046415
EIF2C1,1,36121397
EIF2C3,1,36169359
TEKT2,1,36322263
ADPRHL2,1,36327073
COL8A2,1,36333433
TRAPPC3,1,36374760
RPRC1,1,36409341
THRAP3,1,36462634
LOC643417,1,36543805
C1orf113,1,36545305
C1orf78,1,36560219
STK40,1,36577812
LSM10,1,36631618
C1orf102,1,36656094
MRPS15,1,36693960
CSF3R,1,36704231
GRIK3,1,37039201
ZC3H12A,1,37712740
C1orf149,1,37730763
SNIP1,1,37774729
FTHL1,1,37782751
LOC653328,1,37794405
DNALI1,1,37795107
GNL2,1,37805004
RSPO1,1,37849538
C1orf109,1,37919829
CDCA8,1,37930746
EPHA10,1,37952148
LOC391026,1,38004694
MANEAL,1,38032361
YRDC,1,38041201
C1orf122,1,38046556
MTF1,1,38052438
INPP5B,1,38098956
SF3A3,1,38195234
FHL3,1,38235029
UTP11L,1,38251001
POU3F1,1,38282865
LOC400750,1,38947189
RRAGC,1,39077592
MYCBP,1,39101221
GJA10,1,39112326
RHBDL2,1,39124066
C1orf108,1,39229504
NDUFS5,1,39264593
LOC643910,1,39319633
MACF1,1,39319705
LOC643314,1,39648587
LOC643948,1,39729397
BMP8A,1,39729905
OXCT2P,1,39753207
LOC643966,1,39770097
PABPC4,1,39799075
HEYL,1,39862413
NT5C1A,1,39897380
HPCAL4,1,39917232
PPIE,1,39977117
BMP8B,1,39996490
OXCT2,1,40007784
TRIT1,1,40079315
MYCL1,1,40133685
MFSD2,1,40193397
CAP1,1,40279015
PPT1,1,40310969
RLF,1,40399648
TMCO2,1,40486160
ZMPSTE24,1,40496366
COL9A2,1,40538750
LOC388621,1,40571243
LOC644107,1,40599586
SMAP1L,1,40612315
ZNF643,1,40688366
LOC653421,1,40713553
ZNF642,1,40715889
C1orf176,1,40747020
ZNF684,1,40769820
RIMS3,1,40858939
LOC644137,1,40928639
NFYC,1,40929953
KCNQ4,1,41022271
CITED4,1,41099315
CTPS,1,41218030
FLJ23878,1,41253856
SCMH1,1,41265461
EDN2,1,41717033
HIVEP3,1,41748272
LOC644449,1,42278855
GUCA2B,1,42391679
GUCA2A,1,42400949
FOXJ3,1,42414797
FAM80A,1,42619064
ZMYND12,1,42668681
PPCS,1,42694817
FLJ20972,1,42720927
TMSL1,1,42738126
PPIH,1,42896635
YBX1,1,42920711
CLDN19,1,42971351
LEPRE1,1,42984633
C1orf50,1,43005527
LOC388624,1,43023313
CCDC23,1,43045320
ERMAP,1,43055363
ZNF691,1,43084867
LOC644590,1,43124794
LOC343515,1,43141490
SLC2A1,1,43164102
LOC440585,1,43383420
EBNA1BP2,1,43402442
WDR65,1,43410613
LOC643774,1,43478465
MGC17299,1,43508994
MGC52423,1,43520141
TIE1,1,43539251
MPL,1,43576062
CDC20,1,43597216
ELOVL1,1,43601659
MED8,1,43622175
C1orf84,1,43628143
KIAA0467,1,43661384
HYI,1,43689416
PTPRF,1,43769134
JMJD2A,1,43888425
ST3GAL3,1,43945805
ARTN,1,44171579
IPO13,1,44185230
DPH2,1,44208246
ATP6V0B,1,44213198
LOC644733,1,44217232
B4GALT2,1,44217453
CCDC24,1,44229867
SLC6A9,1,44234742
LOC400751,1,44282193
LOC644743,1,44341581
ZNF393,1,44357109
DMAP1,1,44451750
PRNPIP,1,44459329
C1orf164,1,44643547
TMEM53,1,44892088
MGC33556,1,44912982
KIF2C,1,44978138
RPS8,1,45013833
RNU39,1,45014123
RNU40,1,45014751
RNU38A,1,45016101
RNU38B,1,45016649
LOC644790,1,45018539
VMD2L2,1,45021846
PLK3,1,45038623
LOC343521,1,45044172
LOC149478,1,45047080
PTCH2,1,45060674
LOC644808,1,45082131
EIF2B3,1,45089101
LOC128192,1,45226493
MRPS17P1,1,45230090
HECTD3,1,45240801
UROD,1,45250417
ZSWIM5,1,45254660
LOC644832,1,45462820
LOC400752,1,45535214
GLOXD1,1,45565132
MUTYH,1,45567501
TOE1,1,45577929
TESK2,1,45582143
LOC126661,1,45732131
MMACHC,1,45733261
PRDX1,1,45749294
AKR1A1,1,45789085
NASP,1,45822304
CCDC17,1,45858304
GPBP1L1,1,45865567
TMEM69,1,45926455
IPP,1,45936977
LOC440587,1,46019519
MAST2,1,46041872
PIK3R3,1,46278399
LOC644207,1,46297022
TSPAN1,1,46418799
POMGNT1,1,46426942
C1orf190,1,46441593
RAD54L,1,46486004
LRRC41,1,46516659
UQCRH,1,46541995
NSUN4,1,46578977
FAAH,1,46632575
LOC644941,1,46672015
DMBX1,1,46745255
FLJ32011,1,46783903
MKNK1,1,46795677
MOBKL2C,1,46845978
ATPAF1,1,46873298
LOC374973,1,46910032
KIAA0494,1,46913420
CYP4B1,1,47037329
CYP4Z2P,1,47081210
CYP4A11,1,47167433
CYP4X1,1,47261827
CYP4Z1,1,47305747
CYP4A22,1,47375694
PDZK1IP1,1,47421848
TAL1,1,47454551
STIL,1,47488436
CMPK,1,47572175
FOXE3,1,47654331
FOXD2,1,47674276
LOC388630,1,48012433
LOC645133,1,48288924
LOC391037,1,48404712
SLC5A9,1,48460991
SPATA6,1,48536865
PPP1R8P,1,48563233
LOC644462,1,48673965
AGBL4,1,48822129
C1orf165,1,48966129
ELAVL4,1,50347225
LOC343184,1,50564391
DMRTA2,1,50655816
FAF1,1,50679523
MRPS6P2,1,51084729
LOC653587,1,51206149
CDKN2C,1,51206955
C1orf185,1,51340494
LOC391039,1,51396159
LOC645245,1,51467750
RNF11,1,51474559
LOC440589,1,51488814
C1orf34,1,51525376
EPS15,1,51592523
LOC441884,1,51797343
OSBPL9,1,51855352
NRD1,1,52027470
RAB3B,1,52157420
TXNDC12,1,52258391
KTI12,1,52270365
BTF3L4,1,52294561
ZFYVE9,1,52380634
LOC645275,1,52455690
CC2D1B,1,52588855
LOC645293,1,52605016
ORC1L,1,52611089
PRPF38A,1,52642824
ZCCHC11,1,52661535
LOC645311,1,52790314
GPX7,1,52840632
MGC52498,1,52871654
C1orf163,1,52925102
ZYG11B,1,52964769
ZYG11A,1,53080771
ECHDC2,1,53134493
SCP2,1,53165536
LOC653607,1,53231456
LOC653511,1,53232986
PODN,1,53300473
SLC1A7,1,53325443
LOC645349,1,53393311
CPT2,1,53434689
C1orf123,1,53452359
MAGOH,1,53465152
LRP8,1,53483800
FLJ40434,1,53676635
DMRTB1,1,53697660
GLIS1,1,53744494
LOC645379,1,53976669
TMEM48,1,54005976
YIPF1,1,54089994
DIO1,1,54132449
C1orf41,1,54159822
LRRC42,1,54184625
LDLRAD1,1,54247094
TMEM59,1,54269937
C1orf83,1,54291862
LOC200008,1,54377256
LOC606495,1,54424414
MRPL37,1,54438428
SSBP3,1,54464783
LOC645436,1,54775447
LOC645442,1,54780317
ACOT11,1,54786489
C1orf179,1,54847442
C1orf175,1,54880047
TTC4,1,54954144
PARS2,1,54995159
TTC22,1,55022812
C1orf177,1,55044324
DHCR24,1,55087888
TMEM61,1,55219053
BSND,1,55237205
PCSK9,1,55277808
USP24,1,55304626
LOC645494,1,55379983
LOC645506,1,55460640
LOC645538,1,55605726
FLJ45337,1,55819298
LOC127406,1,56446195
PPAP2B,1,56733021
PRKAA2,1,56883608
C1orf168,1,56957066
C8A,1,57093065
C8B,1,57167471
DAB1,1,57236167
LOC645661,1,57661537
LOC644928,1,58294305
LOC414357,1,58466656
OMA1,1,58718979
TACSTD2,1,58813231
AK2B,1,58868171
MYSM1,1,58898184
JUN,1,59019051
LOC645757,1,59121134
LOC391044,1,59237936
LOC645785,1,59294266
FLJ10986,1,59535328
HOOK1,1,60053121
CYP2J2,1,60131568
C1orf87,1,60228654
LOC645850,1,60897897
LOC645865,1,61096876
NFIA,1,61320881
LOC645030,1,61487211
MGC34796,1,61891740
TM2D1,1,61919307
INADL,1,61980737
LOC645915,1,61980738
LOC645058,1,62277102
ECAT11,1,62433124
ANKRD38,1,62475409
USP1,1,62674563
DOCK7,1,62692985
ANGPTL3,1,62835775
ATG4C,1,63022391
LOC199897,1,63238762
LOC199899,1,63397348
FOXD3,1,63561318
LOC441887,1,63598048
ALG6,1,63605886
ITGB3BP,1,63679050
KIAA1799,1,63761856
PGM1,1,63831535
LOC646051,1,64012043
ROR1,1,64012302
UBE2U,1,64442078
CACHD1,1,64744186
LOC653696,1,64744189
LOC653697,1,64801954
RAVER2,1,64983366
JAK1,1,65072796
LOC391045,1,65222978
MRPS21P1,1,65330625
AK3L1,1,65385820
AK3L2,1,65386679
LOC645195,1,65492739
DNAJC6,1,65503018
LOC645200,1,65536880
LEPR,1,65658906
LEPROT,1,65658907
PDE4B,1,66031452
LOC645227,1,66280777
SGIP1,1,66772553
TCTEX1D1,1,66990730
INSL5,1,67036012
WDR78,1,67051156
MIER1,1,67163230
SLC35D1,1,67242439
C1orf141,1,67330447
IL23R,1,67404757
IL12RB2,1,67545635
SERBP1,1,67646081
GADD45A,1,67923471
GNG12,1,67939810
DIRAS3,1,68284233
C1orf139,1,68336739
LOC645291,1,68398845
LOC149224,1,68480688
RPE65,1,68667095
DEPDC1,1,68713526
AF357533,1,68752015
LRRC7,1,69998446
PIN1L,1,70157599
LRRC40,1,70383085
SFRS11,1,70443953
ANKRD13C,1,70500129
HHLA3,1,70593100
CTH,1,70649543
LOC391048,1,70768797
LOC646307,1,70944919
PTGER3,1,71090624
ZNF265,1,71301562
NEGR1,1,71641213
LOC126811,1,73343126
LOC646386,1,74229924
LOC653733,1,74264293
LRRC44,1,74418179
FPGT,1,74436514
TNNI3K,1,74473673
C1orf173,1,74806387
CRYZ,1,74943772
C1orf171,1,74971428
LHX8,1,75366707
SLC44A5,1,75444868
LOC646417,1,75820369
LOC646425,1,75876445
ACADM,1,75962870
DLSTP,1,75980273
RABGGTB,1,76024474
MSH4,1,76035218
ASB17,1,76157148
ST6GALNAC3,1,76312992
LOC388642,1,76932170
ST6GALNAC5,1,77105774
LOC256483,1,77306199
PIGK,1,77329972
LOC645441,1,77366151
AK5,1,77520330
ZZZ3,1,77802776
USP33,1,77934260
FAM73A,1,78017897
LOC653631,1,78048049
LOC645466,1,78085373
C1orf118,1,78119621
NEXN,1,78156396
FUBP1,1,78186179
DNAJB4,1,78243224
GIPC2,1,78284177
MGC27382,1,78467877
PTGFR,1,78729316
IFI44L,1,78858741
IFI44,1,78888104
LOC343295,1,78985443
ELTD1,1,79128043
LOC149050,1,79293167
LOC343296,1,79759772
LOC553139,1,80328450
LOC646526,1,80521625
LOC441889,1,80689355
COX6A1P,1,80734245
LOC646538,1,81336510
LOC646542,1,81391022
LOC343301,1,81446841
LOC646562,1,81544435
LOC646555,1,81730113
LOC646556,1,81795390
LPHN2,1,82038670
TTLL7,1,84108031
PRKACB,1,84316333
LOC646598,1,84482541
SAMD13,1,84536637
LOC391051,1,84602139
DNASE2B,1,84636803
BXDC5,1,84717546
GNG5,1,84736680
SPATA1,1,84744601
CTBS,1,84792810
C1orf180,1,84866501
SSX2IP,1,84882184
EDG7,1,85048603
MCOLN2,1,85163854
MCOLN3,1,85256353
WDR63,1,85300595
SYDE2,1,85396979
C1orf52,1,85490244
BCL10,1,85504519
LOC646626,1,85514711
DDAH1,1,85556756
CYR61,1,85819048
C1orf181,1,85891079
COL24A1,1,85967504
ODF2L,1,86587008
LOC646655,1,86654220
CLCA2,1,86662413
CLCA1,1,86706639
CLCA4,1,86785349
CLCA3,1,86872547
SH3GLB1,1,86943092
dJ612B15.1,1,87019877
SEP15,1,87100716
HS2ST1,1,87152950
LOC339524,1,87370246
LMO4,1,87566739
LOC401954,1,88736284
PKN2,1,88922844
GTF2B,1,89091203
KAT3,1,89174044
RBMXL1,1,89218710
GBP3,1,89244956
GBP1,1,89290593
LOC284672,1,89341396
GBP2,1,89345898
GBP7,1,89370058
GBP4,1,89420044
GBP5,1,89498853
GBP6,1,89602205
LOC391053,1,89632114
LOC400759,1,89648466
LRRC8B,1,89796860
FLJ27354,1,89863002
LRRC8C,1,89871350
LRRC8D,1,90060101
LOC492303,1,90231418
ZNF326,1,90233268
LOC646763,1,90749062
BARHL2,1,90950167
LOC149351,1,91067698
LOC646780,1,91131101
ZNF644,1,91153443
LOC646784,1,91262062
SEC63D1,1,91498910
LOC645931,1,91566403
HFM1,1,91615588
CDC7,1,91739032
LOC441891,1,91772810
TRA1P2,1,91873156
TGFBR3,1,91920575
BRDT,1,92187720
ABHD7,1,92268146
LOC646817,1,92311819
BTBD8,1,92318481
KIAA1107,1,92405193
C1orf146,1,92456161
LOC646821,1,92467158
GLMN,1,92484635
C1orf82,1,92537193
GFI1,1,92712909
EVI5,1,92746841
RPL5,1,93070182
FAM69A,1,93071041
RNU21,1,93075434
RNU66,1,93078864
MTF2,1,93317431
TMED5,1,93389999
CCDC18,1,93418508
LOC646848,1,93549305
DR1,1,93584066
FNBP1L,1,93727341
BCAR3,1,93799936
DNTTIP2,1,94107924
GCLM,1,94125178
ABCA4,1,94230981
ARHGAP29,1,94410477
LOC441893,1,94540182
ABCD3,1,94656599
F3,1,94767461
SLC44A3,1,95058765
CNN3,1,95135095
LOC646896,1,95165135
ALG14,1,95220885
LOC646902,1,95355199
TMEM56,1,95355572
RWDD3,1,95472355
LOC646914,1,95991443
LOC646917,1,96230218
LOC646923,1,96492219
LOC440595,1,96678393
LOC653702,1,96912881
