HGNC symbol,Chromosome Name,Gene Start (bp),Gene End (bp)
RNU4ATAC3P,13,92712097,92712222
MIR4514,15,81289758,81289814
RNA5SP520,Y,19669744,19669856
RNU5E-9P,2,179007275,179007378
MIR3136,3,69098109,69098186
RPPH1,14,20811234,20811566
MIR326,11,75046136,75046230
SNORD114-4,14,101420711,101420785
RNA5SP345,11,95573181,95573288
SNORD115-44,15,25496006,25496087
SNORD93,7,22896232,22896305
MIR520A,19,54194135,54194219
MIR4670,9,95290266,95290340
MIR3672,X,120504826,120504907
MIR5191,1,201688636,201688755
RN7SKP8,13,98856089,98856446
SNORD56B,14,71865054,71865124
MIR1302-9,9,30144,30281
SNORD116-27,15,25346722,25346813
MIR140,16,69966984,69967083
RNA5SP518,Y,9928019,9928137
MIR210,11,568089,568198
RNA5SP199,5,155272447,155272538
RNA5SP441,17,38530341,38530428
SNORD92,2,29136530,29136614
RNA5SP208,6,68177124,68177201
RNA5SP443,17,43404732,43404863
MIR99B,19,52195865,52195934
MIR363,X,133303408,133303482
MIR1208,8,129162362,129162434
RNA5SP330,11,8866810,8866905
MIR589,7,5535450,5535548
RNU6-46,11,67663102,67663208
MIR5584,1,45011165,45011224
MIR128-2,3,35785968,35786051
SNORD115-23,15,25456943,25457024
MIR1293,12,50627925,50627995
RNA5SP45,1,41932608,41932699
MIR514A3,X,146366159,146366246
MIR214,1,172107938,172108047
MIR4646,HSCHR6_MHC_DBB,31650981,31651043
RNY4P19,2,230922945,230923040
RNA5SP26,13,38428989,38429107
MIR4469,8,42751340,42751418
RNU6-42,3,196511851,196511957
MIR516B2,19,54228696,54228780
MIR4519,16,30886587,30886644
MIR1295A,1,171070869,171070947
MIR147A,9,123007257,123007328
MIR4523,17,27717680,27717748
MIR4451,4,86643621,86643686
RNU6-79,13,73455246,73455352
MIR222,X,45606421,45606530
MIR185,22,20020662,20020743
MIR548K,11,70130061,70130176
RNU6-26,19,1021521,1021627
SNORA44,1,28906893,28907024
RNA5SP413,16,34981403,34981511
RNY1P7,13,25277694,25277803
MIR4505,14,74225450,74225522
MIR1280,3,128081008,128081101
SNORD114-7,14,101429391,101429467
MIRLET7A3,22,46508629,46508702
RNU6-60,13,49562051,49562153
MIR199B,9,131007000,131007109
RNA5S2,1,228748256,228748374
RNA5SP514,X,131072874,131072984
MIR4679-1,10,90823092,90823168
MIR4679-2,10,90823092,90823168
MIR4533,20,59053169,59053239
MIR5680,8,103137660,103137743
SNORD115-31,15,25472256,25472337
SCARNA21,17,7809440,7809578
MIR3129,2,189997762,189997837
MIR3118-1,1,143424141,143424215
MIR3118-3,1,143424141,143424215
MIR3118-2,1,143424141,143424215
MIR940,16,2321748,2321841
MIR4642,6,44403378,44403459
MIR4739,17,77680985,77681058
MIR4683,10,35930100,35930180
RNU4-9P,13,21612668,21612806
RNA5SP417,16,34986199,34986306
RNA5SP126,3,25393775,25393883
RNA5SP416,16,34985945,34986055
RNA5-8S5,GL000220.1,112025,112177
MIR3155A,10,6194159,6194240
MIR3922,12,104985411,104985494
SNORA70D,16,71732470,71732604
SNORD114-11,14,101434448,101434522
MIR4646,HSCHR6_MHC_MANN,31708300,31708362
MIR3132,2,220413795,220413869
MIR510,X,146353853,146353926
MIR1269B,17,12820585,12820659
MIR630,15,72879558,72879654
MIR5093,16,85339832,85339931
RNA5SP490,21,33935385,33935520
MIR3937,X,39520470,39520575
SNORD35A,19,49994432,49994517
MIR4697,11,133768399,133768476
MIR5007,13,55748589,55748683
SNORD115-32,15,25474114,25474195
SNORD115-39,15,25486893,25486974
SNORD24,9,136216251,136216325
RNA5SP44,1,39619836,39619968
MIR543,14,101498324,101498401
MIR135B,1,205417430,205417526
MIR4688,11,46397952,46398034
RNA5SP421,16,34988926,34989059
MIR4526,18,13611113,13611199
MIR3154,9,131007226,131007309
MIR3911,9,130452966,130453074
MIR3646,20,43036760,43036843
RNU6-59,13,22125443,22125549
RNA5SP190,5,118781411,118781528
MIR4657,7,44921347,44921399
SNORD45B,1,76255162,76255233
MIR324,17,7126616,7126698
MIR3683,7,7106595,7106676
MIR203,14,104583742,104583851
MIR4475,9,36823536,36823596
MIR202,10,135061015,135061124
SNORD25,11,62623040,62623102
RNA5SP242,7,128337493,128337610
MIR4718,16,12814178,12814228
SNORD30,11,62621135,62621204
MIR548AR,13,115009980,115010036
MIR4486,11,19596857,19596919
MIR218-1,4,20529898,20530007
MIR298,20,57393281,57393368
MIR4427,1,233759898,233759965
RNU6-54,13,71033596,71033702
MIR4264,2,79876420,79876485
RNA5SP320,10,75466248,75466371
MIR625,14,65937820,65937904
RNU6-68,13,46984589,46984692
RNU5A-7P,12,64622340,64622455
RNA5SP40,1,9497728,9497837
MIR3161,11,48118334,48118410
MIR4417,1,5624131,5624203
RNA5SP183,5,55073297,55073415
MIR553,1,100746797,100746864
MIR5684,19,12897942,12898006
MIR188,X,49768109,49768194
RNY4P11,20,18309650,18309746
RNA5SP407,16,34969010,34969119
MIR199A1,19,10928102,10928172
SNORD117,6,31504151,31504226
RNA5SP225,6,153741573,153741707
MIR611,11,61559967,61560033
MIR3180-5,16,2185978,2186130
RNU6-20,16,57864440,57864546
MIR3676,17,8090493,8090577
RNA5SP192,5,132184269,132184388
MIR1260B,11,96074602,96074690
SNORD12B,20,47896856,47896946
SNORD108,15,25232072,25232142
SNORD115-28,15,25467495,25467575
SCARNA13,14,95999692,95999966
MIR944,3,189547711,189547798
RNA5SP355,12,28658327,28658461
MIR4663,8,124228028,124228103
MIR3156-2,18,14830165,14830241
MIR3907,7,151130575,151130725
MIR1302-10,19,71973,72110
MIR1302-11,19,71973,72110
MIR378C,10,132760851,132760931
SNORA39,20,37076727,37076858
MIR130A,11,57408671,57408759
RNA5SP55,1,117504969,117505093
TRNAI2,6,26988114,26988226
MIR610,11,28078362,28078457
MIR33A,22,42296948,42297016
SNORD114-23,14,101450213,101450284
RNU6-56,13,39353561,39353653
SNORD114-2,14,101418193,101418270
RNU6-23,16,70479196,70479302
RNA5SP256,8,17605627,17605739
SNORD115-46,15,25511738,25511808
MIR941-2,20,62551085,62551201
MIR3978,X,109325346,109325446
MIR4299,11,11678198,11678269
MIR4431,2,52929660,52929753
MIR299,14,101490114,101490215
MIR1278,1,193105633,193105713
RNU3P3,14,85738276,85738405
RNA5SP391,15,27525465,27525583
MIR760,1,94312388,94312467
MIR4489,11,65416663,65416724
MIR320D2,X,140008337,140008384
MIR4762,22,46156404,46156478
SNORA13,5,111497182,111497314
SNORD116-3,15,25302007,25302101
SNORD115-27,15,25465644,25465725
MIR200A,1,1103243,1103332
RNA5SP470,19,29492577,29492682
MIR4422,1,55691314,55691396
SNORD17,20,17943353,17943589
MIR5094,15,90393869,90393953
MIR3143,6,27115405,27115467
SNORA53,12,98993413,98993661
SNORD114-29,14,101456428,101456497
FGFR3P6,1,247277161,247283578
MIR4497,12,110271153,110271241
SNORD5,11,93466394,93466466
RN7SKP7,13,97601503,97601787
MIR3118-5,GL000213.1,104742,104817
MIR192,11,64658609,64658718
RNA5SP460,18,70419187,70419286
MIR1255B2,1,167967898,167967964
MIR4637,5,14826038,14826121
MIR103A2,20,3898141,3898218
SNORD9,14,21860309,21860412
MIR564,3,44903380,44903473
MIR3160-2,11,46473355,46473439
MIR3160-1,11,46473355,46473439
MIR4794,1,65045530,65045606
MIR455,9,116971714,116971809
MIR885,3,10436173,10436246
MIR4677,1,243509478,243509557
MIR1252,12,79813037,79813101
MIR26A1,3,38010895,38010971
MIR4487,11,47422521,47422593
VN1R17P,1,247400170,247401259
MIR23C,X,20035206,20035305
SNORA52,11,811681,811814
MIR133B,6,52013721,52013839
MIR506,X,146312238,146312361
RNA5SP124,3,14436148,14436257
VN1R5,1,247419374,247420445
MIR5100,10,43493011,43493129
MIR491,9,20716104,20716187
RNA5SP285,9,74914636,74914754
OR2W5,1,247654370,247655710
SNORD116-5,15,25307480,25307574
MIR548AN,X,105883044,105883126
RNA5SP247,7,140070241,140070345
MIR431,14,101347344,101347457
MIR99A,21,17911409,17911489
GCSAML-AS1,1,247687981,247690054
MIR4739,HG748_PATCH,77703258,77703331
RNU6-18,15,32576353,32576459
MIR4777,2,232227419,232227504
RNA5S15,1,228777315,228777433
RNU1-21P,11,123634635,123634797
MIR129-2,11,43602944,43603033
OR14L1P,1,247782945,247783872
MIR3917,1,26232853,26232945
RNA5SP282,9,34206132,34206239
SNORA7A,3,12881811,12881949
RNA5SP338,11,22709897,22709981
RNU6-4,1,31970419,31970525
SNORD14D,11,122929617,122929703
RNA5SP427,16,53371365,53371483
RNA5SP195,5,138635541,138635657
MIR548AC,1,117102646,117102733
RNU6-25,19,893484,893590
MIR3913-1,12,69978502,69978603
MIR3913-2,12,69978502,69978603
MIR3914-1,7,70772658,70772742
MIR3908,12,124020956,124021081
OR3D1P,1,247830189,247831143
MIR5685,6,53141791,53141869
MIR1273D,1,10287776,10287861
MIR4640,HSCHR6_MHC_QBL,30848250,30848339
MIR1229,5,179225278,179225346
OR9H1P,1,247938212,247939138
RNU7-59P,11,77277979,77278039
SNORD112,14,101364257,101364333
RNA5SP48,1,52439082,52439207
RNY4P24,13,52974139,52974234
HSD17B7P1,1,247990788,247991804
MIR4446,3,113313723,113313789
SNORD32A,19,49993222,49993305
MIR19B1,13,92003446,92003532
SNORD115-20,15,25451409,25451490
SNORD115-43,15,25494345,25494426
MIR548V,8,17539087,17539166
RNA5SP147,3,176481021,176481129
MIR3190,19,47730199,47730278
MIR3191,19,47730199,47730278
MIR1909,19,1816158,1816237
RNA5SP436,17,15685655,15685769
MIR4736,17,56413337,56413383
RNA5SP369,12,102230598,102230705
RNA5SP264,8,36621963,36622069
MIR583,5,95414842,95414916
MIR3135B,HSCHR6_MHC_COX,32641388,32641455
OR2L1P,1,248153569,248154506
RNA5SP383,14,24627812,24627931
MIR377,14,101528343,101528476
MIR875,8,100549014,100549089
MIR4798,4,7312177,7312251
SNORD114-25,14,101452394,101452465
MIR586,6,45165411,45165507
MIR489,7,93113248,93113331
RNA5SP453,18,29756013,29756131
OR2M1P,1,248285234,248286184
MIR302A,4,113569339,113569407
MIR5583-1,18,37256685,37256743
SNORA57,11,62432894,62433042
OR2T7,1,248604483,248605433
MIR876,9,28863624,28863704
SNORA35,X,113865259,113865386
NRON,9,129170320,129170689
MIR330,19,46142252,46142345
MIR548O2,20,37145206,37145275
SNORD6,11,93464668,93464740
RNA5SP194,5,138348018,138348130
SNORD113-1,14,101391161,101391229
LYPD8,1,248881947,248885506
RNA5SP148,3,178146985,178147078
SNORD116-4,15,25304685,25304780
MIR5692C2,7,97593717,97593793
SNORA36B,1,220373888,220374018
RNA5SP318,10,55217957,55218048
MIR4667,9,35608091,35608156
MIR4474,9,20502263,20502340
RNU1-11P,6,13214288,13214451
RNU7-55P,8,8929965,8930026
MIR423,17,28444097,28444190
MIR523,19,54201639,54201725
RNA5SP299,10,8698679,8698794
MIR4716,15,49461267,49461350
MIR4508,15,23807209,23807278
MIR4485,MT,1671,3229
MIR558,2,32757220,32757313
RNU1-18P,6,122532794,122532957
MT-ND1,MT,3307,4262
MIR1537,1,236016300,236016360
MT-ND2,MT,4470,5511
MT-CO1,MT,5904,7445
MIR3177,16,1784986,1785067
RNU6-77,13,81839882,81839972
MIR4751,19,50436321,50436394
RNA5SP42,1,34578550,34578664
MIR2113,6,98472407,98472497
RNA5SP92,2,33557965,33558074
MIR4491,11,111218482,111218549
MIR1193,14,101496389,101496466
MT-CO2,MT,7586,8269
MT-ATP8,MT,8366,8572
SNORD124,17,38183795,38183898
MT-ATP6,MT,8527,9207
MT-CO3,MT,9207,9990
MT-ND3,MT,10059,10404
SNORD15A,11,75111435,75111582
RNA5SP326,10,109221318,109221427
MT-ND4L,MT,10470,10766
RNU5E-10P,11,47598023,47598140
MT-ND4,MT,10760,12137
SNORD50A,6,86387012,86387086
MIR320E,19,47212550,47212602
MT-ND5,MT,12337,14148
MT-ND6,MT,14149,14673
MIR604,10,29833933,29834026
MT-CYB,MT,14747,15887
SNORD83B,22,39709824,39709916
RNU4-4P,3,172514219,172514348
RNA5SP22,1,78560491,78560599
MIR572,4,11370451,11370545
RNA5SP515,X,134562093,134562210
PKD1L2,16,81204345,81253975
MIR149,2,241395418,241395506
RNA5SP481,20,30596154,30596275
SNORD37,19,3982505,3982570
RNA5SP245,7,129667117,129667237
SNORD116-17,15,25328735,25328826
MIR3692,6,157950164,157950232
MIR645,20,49202323,49202416
MIR3150A,8,96085139,96085224
MIR3150B,8,96085139,96085224
RNA5SP104,2,134988766,134988883
MIR4284,7,73125647,73125727
MIR3174,15,90549987,90550073
GABRR3,3,97705527,97753831
MIR4509-2,15,28671637,28671730
MIR4509-3,15,28671637,28671730
MIR4509-1,15,28671637,28671730
RNU7-54P,7,128083503,128083564
RNU6-1,15,68132277,68132383
MIR107,10,91352500,91352586
MIR3668,6,140526389,140526463
SNORD113-7,14,101407463,101407539
RNU6-13,8,57829643,57829749
MIR449C,5,54468090,54468181
MIR3194,20,50069442,50069514
MIR4436A,2,89111884,89111968
RNU6-55,13,19443325,19443431
SNORD53,2,29149933,29150010
MIR1469,15,96876490,96876536
MIR519B,19,54198467,54198547
RNU7-62P,1,64850081,64850142
MIR4261,2,10332740,10332797
RNA5-8S5,GL000220.1,155997,156149
MIR125B1,11,121970465,121970552
MIR3909,22,35731633,35731751
MIR5193,3,49843570,49843678
SNORD18A,15,66795581,66795652
RNA5SP409,16,34969996,34970104
MIR92A1,13,92003568,92003647
RNU1-14P,7,53433751,53433902
RNU7-13P,1,184790562,184790623
MIR5706,5,118490332,118490411
RNA5SP316,10,51255380,51255495
MIR519C,19,54189723,54189809
MIR4445,3,109321675,109321744
SCARNA16,17,75085389,75085575
MIR548AB,3,103242877,103242960
RNY4P20,6,151619976,151620068
RNY1P2,13,102669303,102669419
RNA5SP381,14,20614276,20614314
MIR486,8,41517959,41518026
MIR4771-2,2,112528638,112528711
MIR4771-1,2,112528638,112528711
SNORA70,X,153628622,153628756
MIR3670-1,16,16400227,16400291
MIR3670-2,16,16400227,16400291
SNORD113-8,14,101409788,101409861
MIR3153,9,91927140,91927221
MIR4509-2,15,28735898,28735991
MIR4509-3,15,28735898,28735991
MIR4509-1,15,28735898,28735991
RNA5SP400,15,86681500,86681610
RNU7-47P,3,142520049,142520110
RNA5SP477,20,21119597,21119715
MIR892A,X,145078187,145078261
MIR4656,7,4828196,4828270
RNA5SP435,17,6504264,6504371
MIR4442,3,25706364,25706430
MIR4517,16,28969904,28969982
MIR4710,14,105144031,105144086
MIR548Y,14,48230198,48230307
MIR514A1,X,146360765,146360862
SNORD83A,22,39711218,39711312
RNA5SP482,20,30638391,30638508
MIR379,14,101488366,101488491
MIR2276,13,24736555,24736643
MIR575,4,83674490,83674583
RNA5SP65,1,166975196,166975314
RNA5SP120,2,217658212,217658323
RNA5SP33,13,79963669,79963766
MIR598,8,10892716,10892812
RNA5SP404,16,9693954,9694085
MIR1273C,6,155174494,155174570
SNORD62A,9,134361052,134361137
RNA5SP75,1,204676448,204676558
RNY4P1,9,77462422,77462517
MIR21,17,57918627,57918698
RNU7-53P,5,129722314,129722373
RNA5SP442,17,39874406,39874512
RNA5SP132,3,51728481,51728598
MIR3667,22,49937041,49937114
MIR3612,12,128778637,128778723
RNA5SP272,8,89408666,89408776
MIR95,4,8007028,8007108
RNA5SP152,4,8394742,8394851
RN7SKP1,13,37740489,37740795
MIR3610,8,117886967,117887039
MIR4752,HSCHR19LRC_COX2_CTG1,54785613,54785684
MIR1270-2,19,20510081,20510163
MIRLET7C,21,17912143,17912236
MIR365B,17,29902430,29902540
MIR1302-8,9,100125836,100125963
MIR548H2,16,11400297,11400384
RNA5SP459,18,52813777,52813876
MIR4419B,12,128729051,128729118
RNU5B-3P,3,45075966,45076080
SNORD20,2,232321155,232321234
MIR4524A,17,67095683,67095797
MIR4524B,17,67095683,67095797
RNA5SP353,12,13593818,13593935
MIR633,17,61021576,61021673
MIR632,17,30677128,30677221
SNORD109A,15,25287121,25287187
RNU1-16P,13,114133230,114133393
RNU4-6P,X,16893269,16893390
SNORA14B,1,235291118,235291252
MIR4633,5,128433381,128433459
MIR1915,10,21785491,21785570
RNU7-19P,3,73076959,73077024
MIR181A2,9,127454721,127454830
SNORA2A,12,49050431,49050565
SNORD115-30,15,25470350,25470431
MIR1294,5,153726666,153726807
SNORD115-36,15,25481232,25481313
MIR3064,HG183_PATCH,62578133,62578199
MIR548H1,14,64561742,64561843
RNA5SP469,19,21295934,21296042
RNU7-16P,7,129045476,129045537
MIR4799,4,148703746,148703819
RNA5SP319,10,70221164,70221282
SNORD107,15,25227141,25227215
SNORD114-13,14,101436216,101436289
RNU7-9P,2,230470954,230471015
MIR145,5,148810209,148810296
RNA5SP507,X,69472892,69473012
MIR4781,1,54519752,54519827
SNORD1B,17,74557191,74557274
MIR18A,13,92002997,92003088
MIR4737,17,58120386,58120466
RNA5SP18,1,228783659,228783779
RNU5A-8P,1,210547498,210547611
MIR4309,14,103005981,103006063
SNORD98,10,70514929,70514995
MIR3152,9,18573304,18573377
RNU6-6,2,201694732,201694839
MIR638,19,10829080,10829179
MIR649,22,21388465,21388561
RNA5SP193,5,136304889,136304995
MIR4286,8,10524488,10524580
MIR487B,14,101512792,101512875
RNY5P8,13,103472343,103472419
MIR302B,4,113569641,113569713
MIR3198-2,12,54625181,54625260
MIR5708,8,81153624,81153708
MIR3671,1,65523438,65523525
MIR454,17,57215119,57215233
RNU5E-7P,2,16005059,16005175
SNORD33,19,49993872,49993956
MIR4763,22,46509446,46509537
MIR5585,1,32552550,32552608
MIR3972,1,17604384,17604470
MIR219-1,6,33175612,33175721
RNU5E-6P,1,45285555,45285669
MIR4472-2,12,116866057,116866123
SNORA74B,5,172447731,172447931
MIR3660,5,89312438,89312537
RNA5SP155,4,10117380,10117508
MIR622,13,90883436,90883531
MIR767,X,151561893,151562001
MIR4752,HSCHR19LRC_COX1_CTG1,54785735,54785806
RNA5SP496,22,31701390,31701498
MIR4472-1,8,143257700,143257779
RNA5SP149,3,179879674,179879765
MIR643,19,52785050,52785146
RNA5SP313,10,48206895,48207010
MIR4503,14,37421514,37421596
SNORD116-15,15,25326434,25326525
MIR548N,7,34980372,34980446
RNA5SP34,13,90787966,90788095
RNA5SP411,16,34980894,34981007
MIR3609,7,98479273,98479352
SNORD116-11,15,25321076,25321167
VTRNA2-1,5,135416186,135416286
MIR1273G,1,53405986,53406085
RNA5SP66,1,169036502,169036602
RNU6-66,13,73687052,73687155
RNA5SP297,10,200771,200883
RNU5A-6P,18,21704134,21704249
SNORA42,1,155889700,155889836
MIR128-1,2,136422967,136423048
MIR30C2,6,72086663,72086734
MIR3201,22,48670176,48670227
MIR150,19,50004042,50004125
MIR4262,2,11977059,11977112
SCARNA2,1,109642815,109643234
RNY5P5,6,25192641,25192718
MIR3188,19,18392887,18392971
MIR663B,2,133014539,133014653
MIR4510,15,36219057,36219124
RNU6-65,13,52139548,52139645
SNORD115-38,15,25484985,25485066
MIR4520A,17,6558759,6558828
MIR4520B,17,6558759,6558828
MIR17,13,92002859,92002942
RNA5SP398,15,69659924,69660020
MIR1184-2,X,154115635,154115733
MIR1184-3,X,154115635,154115733
MIR20A,13,92003319,92003389
MIR5703,2,228336848,228336903
RNA5SP346,11,96207736,96207856
MIR124-2,8,65291706,65291814
MIR421,X,73438212,73438296
RNY4P5,8,124056957,124057052
RNA5SP269,8,69607878,69608014
SNORD114-17,14,101441143,101441217
RNA5S3,1,228750497,228750615
RNA5SP502,X,41152051,41152169
RNU6-21,16,62221444,62221550
RNA5SP252,8,10544079,10544197
MIR153-2,7,157367028,157367114
MIR4785,2,161264321,161264393
RNA5SP510,X,94837063,94837161
MIR3960,9,130548112,130548202
MIR5192,2,62432961,62433052
RNA5SP172,4,178378265,178378382
MIR3186,17,79418130,79418214
MIR301A,17,57228497,57228582
MIR155,21,26946292,26946356
SNORA17,9,139621200,139621331
MIR623,13,100008385,100008482
RNA5SP234,7,79283425,79283543
SNORD121B,9,33934294,33934374
MIR3121,1,180407449,180407525
SCARNA7,3,160232695,160233024
MIR4759,21,28326280,28326362
RNU1-15P,7,21420981,21421124
MIR106A,X,133304228,133304308
MIR3679,2,134884696,134884763
MIR5188,12,125400093,125400205
MIR4255,1,37627164,37627235
MIR4745,19,804940,805001
RNU1-1,1,16840617,16840780
RNA5SP378,12,132285860,132285979
RNA5SP39,13,108953560,108953679
MIR4318,18,35237098,35237178
MIR580,5,36147994,36148090
RNU6-41,14,32672369,32672475
MIR2467,2,240273419,240273499
RNA5SP230,7,44165351,44165472
MIR485,14,101521738,101521848
MIR5683,6,6169567,6169642
RNA5SP41,1,13949679,13949779
RNA5SP281,9,32293556,32293690
MIR4695,1,19209696,19209769
MIR3621,9,140063638,140063722
MIR654,14,101506556,101506636
SNORD84,HSCHR6_MHC_MANN,31548377,31548454
RNA5SP88,2,24787499,24787607
RNA5SP418,16,34987197,34987313
MIR4307,14,27377848,27377931
MIR5000,2,75317939,75318041
RNU5B-6P,10,110944651,110944765
MIR1267,13,108183519,108183596
MIR4460,5,128732755,128732840
MIR3688-1,4,160049954,160050046
MIR3688-2,4,160049954,160050046
MIR518F,19,54203269,54203355
RNU1-8,14,35025432,35025595
RNA5SP322,10,87812205,87812323
RNA5SP461,18,75575420,75575523
RNY4P7,2,128556477,128556572
SNORD99,1,28905261,28905334
MIR371A,19,54290929,54290995
MIR223,X,65238712,65238821
RNA5SP119,2,212400378,212400494
RNA5SP458,18,47845372,47845490
RNA5SP279,9,1333837,1333953
SNORD115-26,15,25463764,25463845
MIR1257,20,60528602,60528718
RNA5SP63,1,163479274,163479385
SNORA59A,1,12567300,12567451
MIR1912,X,113886019,113886098
RNA5SP51,1,86349363,86349481
RNU4-8P,2,98281054,98281194
RNU6-16,11,88345973,88346079
RNA5SP422,16,34989294,34989404
MIR5701-2,15,21145581,21145662
MIR5701-1,15,21145581,21145662
RNA5SP492,21,43641283,43641396
SNORD116-6,15,25310173,25310268
MIR501,X,49774330,49774413
MIR5011,18,64748821,64748923
RNA5SP176,5,7047340,7047449
MIR1236,6,31924616,31924717
MIR2277,5,92956402,92956494
SNORA5C,7,45144505,45144641
MIR4790,3,5291862,5291940
MIR548O,7,102046189,102046302
MIR3622A,8,27559190,27559284
MIR3622B,8,27559190,27559284
MIR181B2,9,127455989,127456077
RNU7-77P,10,35424371,35424430
MIR619,12,109230684,109230782
RNA5SP25,13,21943929,21944038
SNORA21,17,37009116,37009247
MIR548AK,10,12172759,12172815
MIR608,10,102734742,102734841
MIR718,X,153285371,153285440
MIR1185-1,14,101509314,101509399
RNU7-49P,11,14500438,14500499
MIRLET7E,19,52196039,52196117
MIR571,4,343946,344041
MIR4653,7,100802754,100802836
SNORD115-19,15,25449504,25449585
MIR1281,22,41488517,41488570
MIR708,11,79113066,79113153
SNORD84,HSCHR6_MHC_SSTO,31498825,31498902
RNU7-87P,13,67204847,67204908
RNA5SP286,9,76365888,76365993
MIR4800,4,2251804,2251883
MIR3657,12,112475403,112475519
RNA5SP387,14,76070516,76070621
MIR711,3,48616335,48616410
MIR4288,8,28362633,28362699
SNORD3B-1,17,18965225,18965440
RNA5SP367,12,101866117,101866234
MIR1247,14,102026624,102026759
MIR648,22,18463634,18463727
MIR34A,1,9211727,9211836
RNY3P3,13,78929362,78929463
RNU5E-4P,1,11969865,11969984
MIR425,3,49057581,49057667
MIR4721,16,28855240,28855328
SNORD10,17,7480129,7480270
MIR4692,11,72494575,72494637
SNORD3B-2,17,18967234,18967449
MIR29C,1,207975197,207975284
MIR508,X,146318431,146318545
MIR4774,2,169439453,169439528
MIR4306,13,100295313,100295403
MIR1539,18,47013743,47013792
MIR515-1,19,54182257,54182339
MIR4324,19,49812054,49812125
MIR382,14,101520638,101520723
RNY1P5,13,74863237,74863351
RNA5SP161,4,56963556,56963670
RNA5SP140,3,133428920,133429011
MIR631,15,75645952,75646026
MIR320A,8,22102475,22102556
RNA5SP382,14,20883146,20883257
MIR4723,HG883_PATCH,26687677,26687757
MIR4511,15,66011584,66011670
RNY4P30,13,50463770,50463864
MIR550A2,7,32772593,32772689
MIR100,11,122022937,122023016
MIR4640,HSCHR6_MHC_DBB,30849365,30849454
MIR487A,14,101518783,101518862
MIR4289,9,91360751,91360820
MIR5006,13,42142422,42142531
MIR10B,2,177015031,177015140
MIR548E,10,112748684,112748771
MIR544A,14,101514995,101515085
RNU7-56P,X,16785967,16786028
MIR592,7,126698142,126698238
RNA5SP359,12,38557205,38557317
MIR4636,5,9053928,9054007
SCARNA5,2,234184373,234184648
SNORD51,2,207026602,207026681
MIR1290,1,19223565,19223642
MIR1913,6,166922842,166922921
MIR4661,8,92217713,92217787
MIR296,20,57392670,57392749
RNA5SP262,8,32049544,32049669
MIR4287,8,27743556,27743633
RNA5SP163,4,72625235,72625333
MIR539,14,101513658,101513735
RNA5SP168,4,151891823,151891934
RNU5B-1,15,65597015,65597130
MIR3189,19,18497372,18497444
RNA5SP118,2,210586637,210586745
RNA5SP485,20,44188397,44188515
MIR513C,X,146271222,146271305
MIR3157,10,97824072,97824156
RNA5SP130,3,49504548,49504661
MIR9-2,5,87962671,87962757
RNA5SP95,2,61225887,61226023
MIR5591,4,39413530,39413594
MIR548B,6,119390212,119390308
MIR520B,19,54204481,54204541
MIR3175,15,93447629,93447705
MIR4273,3,75787431,75787514
RNU6-81,13,64357934,64358037
MIR3677,16,2320714,2320773
MIR1-2,18,19408965,19409049
MIR527,19,54257272,54257356
MIR4281,5,176056440,176056501
MIR4715,15,26093894,26093972
RNA5SP19,1,228743494,228743602
RNA5SP280,9,27198285,27198399
